Year,Month,monthly.mean
2002,1,
2002,2,
2002,3,0.0036
2002,4,0.032747765
2002,5,0.196364
2002,6,
2002,7,
2002,8,
2002,9,
2002,10,
2002,11,
2002,12,
2003,1,
2003,2,0.0144812
2003,3,
2003,4,0.029158
2003,5,0
2003,6,
2003,7,0.025721818
2003,8,0.0032992
2003,9,
2003,10,0.000166154
2003,11,0.004516121
2003,12,0.012239111
2004,1,0.001944
2004,2,0
2004,3,0.0106916
2004,4,0.003468645
2004,5,0.0014125
2004,6,
2004,7,0.00036
2004,8,0.00024
2004,9,0.001908
2004,10,0.149925037
2004,11,0.002346444
2004,12,0.001595667
2005,1,0.0007155
2005,2,0.144570571
2005,3,0.003091048
2005,4,0.000443333
2005,5,0.000808421
2005,6,0.001108
2005,7,0.109930162
2005,8,0.004874
2005,9,0.00216
2005,10,0.000443333
2005,11,0.000808421
2005,12,0.094668372
2006,1,
2006,2,0.005684
2006,3,
2006,4,0.001035385
2006,5,0.149737037
2006,6,0.000432
2006,7,0.00144
2006,8,0.001851429
2006,9,
2006,10,0.003789333
2006,11,
2006,12,0.000790519
2007,1,
2007,2,0.192246476
2007,3,0.00276928
2007,4,0.00216
2007,5,
2007,6,
2007,7,0.0007208
2007,8,0.25239625
2007,9,0.68333425
2007,10,0.000925714
2007,11,0.066485423
2007,12,0.004953143
2008,1,0.432206294
2008,2,0.903285111
2008,3,0.000822105
2008,4,0.003285333
2008,5,0.122262424
2008,6,0.003111
2008,7,0.0024896
2008,8,
2008,9,
2008,10,0.129453548
2008,11,0.003751467
2008,12,0.025881838
2009,1,
2009,2,0.172871778
2009,3,0.003091048
2009,4,0.000961429
2009,5,0.122577576
2009,6,0.029293545
2009,7,0.815582469
2009,8,0.001255556
2009,9,2.756303105
2009,10,0.134835333
2009,11,0.001028571
2009,12,0.003732889
2010,1,
2010,2,
2010,3,
2010,4,
2010,5,
2010,6,0.003779333
2010,7,0.000532
2010,8,0.0012
2010,9,
2010,10,0.078371154
2010,11,0.0045472
2010,12,0.001223636
2011,1,0
2011,2,0.134835333
2011,3,0.0012096
2011,4,0.003101684
2011,5,0.0020576
2011,6,0.24960125
2011,7,0.0185684
2011,8,0.00038
2011,9,
2011,10,0.072773214
2011,11,0.031480077
2011,12,0.00074381
2012,1,0.003790769
2012,2,0.143323571
2012,3,0.004526545
2012,4,0.006529412
2012,5,0.230109205
2012,6,0.191632333
2012,7,0.211518261
2012,8,
2012,9,
2012,10,2.074366575
2012,11,1.777173333
2012,12,
,,